Name_CH,Name_ML,Name_EN,Location,Longitude,Latitude,Region,Category,PageNumber,,
玻州菩提佛教会,PersatuanBodhi Buddhist Perlis,Perlis Bodhi Buddhist Association,"8, Jalan Taman Sri lntan, 02600 Arauz Perlis.",100.2749433,6.4287388,Perlis,宗教,38,,
玻璃市华校董事联合会,Persatuan Lembaga2 Pengurus Sekolan China Perlis,,"C/O SRJK(C) Khoon Aik, Jalan Raja Syed Alwi, 01000 Kangar, Perlis.",100.1966063,6.4293425,Perlis,文教,38,,
玻州德教会紫阳阁,Persatuan Pendidikan Akhlak Che Yang Khor,Che Yang Khor Moral Uplifting Society,"33, Pengkalan Asam, 01000 Kangar, Perlis.",100.1894975,6.4344785,Perlis,宗教,38,,
玻璃市佛学会,Pertubuhan Buddist Perlis,,"1, Jin Mutiara, Taman Mutiara, 01000 Kangar, Perlis.",100.1884752,6.4352269,Perlis,宗教,38,,
玻璃市加央真空教原南坛,Guan Nam Tuagh Chinese Temple,,"125, Jalan Jubli Emas, Kangar, Perlis.",100.2084512,6.4459783,Perlis,宗教,38,,
玻璃市华校教师会,Persatuan Guru-Guru Sekolah Cina Perlis,The Perlis Chinese School Teachers Association,"SJK(C) Kok Aik, 02500 Mata Ayer, Perlis.",100.2584516,6.4729163,Perlis,文教,38,,
玻中校友会,Persatuan Murid-Murid Tua SMJK Perlis,,"2, Jin Masjid, 02100 Padang Besar, Perlis.",100.3197898,6.6605315,Perlis,文教,38,,
双弄那督庙,Dato Kong Kuala Sanglang,,"225, K Sanglang, Perlis.",100.195938,6.260972,Perlis,宗教,39,,
普济庙,Fo Chi Mooi,,"76, Pekan Simpang Empat, 02700 Simpang Empat Perlis.",100.1367166,6.2980423,Perlis,宗教,39,,
加基武吉佛教会,,Pertubuhan Buddhis Kaki Bukit,"PT 1794, Pekan Lama, 02000 Kuala Perlis, Perlis.",100.12741,6.3970635,Perlis,宗教,39,,
加央港口永安堂,Tokong Cina Eng Aun Keong,,"Batu 6 3/4, Jalan Besar, 02000 Kuala Perlis, Perlis.",100.1321746,6.4002226,Perlis,宗教,39,,
爪夷芭静安宫理事会,"Pertubuhan Pengurusan Rumah Berhala Cheng Aun Kong, Jejawi, Perlis",,"1168, Jalan Jejawi Permatang, 02600, Arau, Perlis.",100.2267865,6.4068519,Perlis,宗教,39,,
玻璃市篮球总会,Persatuan Bola Keranjang Negeri Perlis,Perlis Basketball Association,"158, Taman Utara, Jejawi, 02600 Arau, Perlis.",100.2824483,6.4105653,Perlis,体育联谊,39,,
玻璃市州琼谊社,Kelab Kheng Yee The Perlis,,"Hotel Federel, 01000 Kangar, Perlis.",100.197633,6.439058,Perlis,体育联谊,39,,
山神伯公庙,Tokong Cina Beseri Jaya,,"2841, Taman Beseri Jaya 02400,Perlis.",100.2334792,6.559489,Perlis,宗教,39,,
福德祠（巴东勿刹）,Hock Teik Soo Temple,,"C/O 31, Pekan Lama, 02100 Padang Besar, Perlis.",100.317013,6.658363,Perlis,宗教,39,,
赞美中心,Gospel Vision Consultant,,"No. 20, Jalan Cendana, Taman Kaki Bukit, 02200, Kaki Bukit Perlis.",100.212438,6.643662,Perlis,宗教,39,,
吉玻州双弄华人公冢理事会,"JawatankuasaTanah Perkuburan Orang-Orang Kuala Sanglang, Kedah/Perlis",,"1178,1179 dan 1180 (Asal Lot 1081 & 1095) Negeri Perlis, Mukim Sanglang, Simpang Sanglang.",100.1982971,6.282643,Perlis,慈善福利,40,,
玻州十字港，新港公冢,Kubur China (Wan On),,"Kuala Sungai Baru 02700 Simpang Empat, Kayang, Perlis.",100.1659619,6.334916,Perlis,慈善福利,40,,
万和公冢,Perkuburan Wan Ho,,"Batu 1, Jalan Tambun Tulang, Simpang Empat, Kayang, Perlis.",100.2488782,6.38486,Perlis,慈善福利,40,,
玻州港口广万源公冢,Tanah Kubur Cho Kong Wan Teng (Orang Cina Mukim Kuala Perlis),,"Kampung Bukit Putih 02000 Kuala Perlis, Perlis.",100.1306779,6.397886,Perlis,慈善福利,40,,
青运玻州分会,YMM Perlis,,"18, Jin Sarawak, 02000, Kuala Perlis, Perlis.",100.133918,6.400652,Perlis,青年妇女,40,,
青团运玻璃市州分会,Pertubuhan Gerakan Belia Bersatu Malaysia Bahagian Negeri Perlis,,"No.30, Jalan Maju 4, Taman Kemajuan, 01000 Kangsar, Perlis.",100.2003471,6.4244126,Perlis,青年妇女,40,,
玻璃市华人公冢理事会,Persatuan Perkuburan Orang-Orang Tionghwa Perlis,Perlis Chinese Public Cemetery Committee,"7, Jalan Indra Kayangan, 01000 Kangar, Perlis.",100.193518,6.438261,Perlis,慈善福利,40,,
亚娄及新路公冢,Perkuburan Cina Arau / Pauh (Awan),,"Batu 11/2, Jalan Pauhz Kurong Anai, Perlis.",100.310621,6.439435,Perlis,慈善福利,40,,
