Name,Notes,Address,State,UID,Latitude,Longitude,img,no_img
觀音亭,,"Jalan Fatimah, Kampung Pegawai, 83000 Batu Pahat, Johor.",Johor,A061,1.8484708,102.9274721,,
慈航堂,此廟有 20 多年歷史,"Kampung Seri Menanti, Semerah, Batu  Pahat, 84150, Johor",Johor,A062,1.910646,102.689554,,
麻坡紅橋復興宮,,"Semerah, 84150, Johor",Johor,A063,1.908101,102.736526,,
玄天廟,此廟有60多年歷史,"Jalan Dato Yunus Utama, Lima Kedai, 81120 Johor Bahru, Johor",Johor,A064,1.500166,103.614282,,
邊佳蘭 / 泰山宮,,"J52, Kampung Penggerang, 81600 Pengerang, Johor",Johor,A065,1.393035,104.146881,,
觀音寺,,"Kampung Sungai Buntu, Johor",Johor,A066,1.344146,104.1979421,,
釜山宮,,,Johor,A067,0,0,,
鳳山宮,,"Ma-Zu Temple , 345 , jalan Kurau 1, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",Johor,A068,1.3525705,104.2197088,,
沈氏族廟,,"Unnam Road, Kempung Sungai Rengi , 81600 Bandar Penawar, Johor",Johor,A069,1.3512332,104.2254005,Yes,2
夫人媽廟,,"Kempung Sungai Rengit , 81600 Pengerang, Johor",Johor,A070,1.350762,104.2244809,Yes,1
寶安宮 – 四位王府廟,,"Jalan Kerisi, Kempung Sungai REngit , 81600 Pengerang , Johor",Johor,A071,1.3516627,104.2246369,,
法主宮,,"Kampung sungait Rengit ,81620 Pengerang johor.",Johor,A072,1.350762,104.2244809,,
五灣新鳳鳳山廟,,"Teluk Ramunia, 81600 Bandar penawar, Johor",Johor,A073,1.372823,104.246609,,
8間廟,,"8 Chinnese Temple Village , 81900 bandar penawar, Johor",Johor,A074,1.3813798,104.2617117,,
譚公廟TamKungTemple,,"35-59, Lorong 3, Taman Senai Utama, 81400 Senai, Johor",Johor,A075,1.6048235,103.6450254,,
洪仙大帝廟,,"106, Jalan Seelong 5, Kampung Baru Seelong, 81400, Senai, Johor Bahru, , Johor",Johor,A076,1.6307979,103.6939638,,
柔佛士乃濟公壇,,"No : LOT 6157, JALAN DASA, TAMAN DASA, 81400, SENAI, JOHOR.",Johor,A077,1.6081131,103.6382597,,
士乃 觀音廟 Senai Guan Yin Ting,,"No : Lot 6157, Jalan Dasa, Taman Dasa, 81400 Senai, Johor",Johor,A078,1.6081131,103.6382597,,
三清玉皇大帝,,"No : 8, Jalan Saleng, Kampung Baru Saleng, 81400 Senai, Johor",Johor,A079,1.629341,103.6323196,,
士乃三山国王庙,,,Johor,A080,0,0,,
士乃大伯公,,"Taman Dasa, 81400 Senai, Johor",Johor,A081,1.607361,103.6374631,,
八寶廟 大伯公,,"Taman Ehsan Jaya, Tebrau, Johor",Johor,A082,1.548463,103.813092,,
蓮花宮 – 大，二，三爺伯,,"39, Jln EJ 5/1, Ehsan Jaya, Tebrau, Johor",Johor,A083,1.5512329,103.8171021,,
新山儒家慈規堂,,"Jln Danau 1, Tmn Desa Jaya, Tebrau, Johor",Johor,A084,1.5552275,103.80439,,
福德正神,華人寺廟,"Jalan Taban, Tebrau, Johor",Johor,A085,1.4926325,103.7627811,,
三鳳宮,,"157, Jln Harimau, 世紀花園, Tebrau, Johor",Johor,A086,1.4776113,103.7571252,,
萬佛如,住家泰國廟,"Jalan Taban, Tebrau, Johor",Johor,A087,1.4926325,103.7627811,,
列光鎮北斗宮,,"2, Jalan Ara 22, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor",Johor,A088,1.5630872,103.8079273,,
天賜萬天官泰國廟,,"11, Jalan Lembing 6, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor",Johor,A089,1.5941749,103.7926118,,
山頂五鳳廟,,"22, Jalan Lembing 8, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor",Johor,A090,1.5951219,103.7926551,,
法輪精社,一真法界的分行,"1, Jalan Jenawi 13, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor",Johor,A091,1.5945733,103.797182,,
