name_zh,name_en,region,address,state,old,a,b,c,d,e,f,g,h,latitude,longitude,UID,no_img
济仙洞关帝宫,Chee Sian Tong,巴生,"731, Jalan Timur, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1033168,101.6480692,,
莲花清人寺,Buddha Lotus,巴生,"1488, Jalan Mesra, Pandamaran, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0123549,101.4241133,,
联福庙、联福宫,Lian Fu Miao,巴生,"Jalan Banting Pandamaran, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.9972512,101.4202791,,
拿督娘娘宫,Dato Neo-Neo Temple,巴生,"390, Sungai Dalam, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0334114,101.2467116,,
南海观音亭,Nan Hai Guan Yin Ting,巴生,"Bagan Teochew, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0195539,101.2452358,,
南天宫,Nan Thian Keng,巴生,"C/O 661, Jalan Tokong, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0334114,101.2467116,,
泗灵宫,See Leng Keng,巴生,"317, Lorong Amarasegara, Pandamaran, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.007494,101.4140916,,
孙福宫,Sam Tai Chu Temple ,巴生,"Jalan Cengal, Kawasan 12, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0049172,101.4140508,,
太上老君仙法师公古庙,Xian Fa Shi Gong,巴生,"290, Sungai Seberang, Pulau Ketam, 42940 Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0334114,101.2467116,,
天恩道堂（真空教）,,巴生,"51A, Jalan Raya Timur, Kawasan 1, 41000 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0397009,101.4525561,,
靔宝宫,,巴生,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.00322,101.42583,,
靔寿宫,Thian Siew Keng,巴生,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.00322,101.42583,,
协天宫,Hiap Tian Kiong,巴生,"Lot H811A, Pulau Ketam, Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0119296,101.3207828,,
阴应宫,Yin Ying Kong,巴生,"Lot H-150, Sungai Dalam, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0334114,101.2467116,,
昭应祠,Chow Eng Chee,巴生,"Jalan Bagan Hailam, Kawasan Perindustrian Selat Klang Utara, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3.0049996,101.3860505,,
昭应庙天后宫,Chiau Eng Bio Thiam Houh Kong,巴生,"29K, Main Street, 42940 Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0119296,101.3207828,,
