,District_Code,Name_EN,old,a,b,c,d,e,f,g,h,UID,no_img,Name_ZH,Address,District_EN,District_ZH,Main_Diety,Founding_Date,Steele,Plaque,latitude,longitude,old_2,State
88,,Zhong Nan Miao,False,False,False,True,False,False,False,False,False,,,高阳苑中南庙,"7, Lorong Dato Yusof Shahbudin 45A, Taman Mewah Jaya, 41200 Klang, Selangor.",,巴生,,,,,3.0085149,101.4693323,,Perlis
89,,Hon Sao Teng Hau Guan Di Temple,False,False,False,True,False,False,False,False,False,,,汉寿亭侯关帝庙,"21, Jalan 41, Kawasan 17, Off Jalan Meru, 41050 Klang, Selangor.",,巴生,,,,,3.017155,101.4463563,,Perlis
90,,Shi Shan Dato Temple,False,False,False,True,False,False,False,False,False,,,河边路石山哪督爷公,"32A, Lintang Sungai 4 Off Jalan Tepi Sungai, 41100 Klang, Selangor",,巴生,,,,,3.0518907,101.4361037,,Perlis
91,,Tian Leng Keng,False,False,False,True,False,False,False,False,False,,,河边路靔灵宫,"54A, Lorong Sungai 10 off Tepi Sungai, 41100 Klang, Selangor",,巴生,,,,,3.0515905,101.431689,,Perlis
92,,Tong Xin Keng,False,False,False,True,False,False,False,False,False,,,河边路同心宫,"54A, Lorong Sungai 10 off Tepi Sungai, 41100 Klang, Selangor",,巴生,,,,,3.0515905,101.431689,,Perlis
93,,Hoh Thian Kiong,False,False,False,True,False,False,False,False,False,,,河天宫,"Lot 3281, Batu 5 1/2, Jalan Kapar, 42100 Klang, Selangor.",,巴生,,,,,3.0671819,101.4207975,,Perlis
94,,Chi Poh Tong,False,False,False,True,False,False,False,False,False,,,加埔路八支聚宝堂,"262, Batu 8, Jalan Keratapi Lama, 42200 Kapar, Selangor",,巴生,,,,,3.103877,101.3659135,,Perlis
95,,Da Bo Gong Tang,False,False,False,True,False,False,False,False,False,,,加埔路二支半大伯公坛,"14, Jalan Labis 105, Kawasan 19, Off Jalan Kapar, Batu 2 1/2, 41400 Klang, Selangor.",,巴生,,,,,3.0678698,101.4365364,,Perlis
96,,Sam Hock Temple,False,False,False,True,False,False,False,False,False,,,加埔路十二支三福宫,"60, Batu 12, Jalan Kapar, 42200 Kapar, Selangor.",,巴生,,,,,3.133016,101.3760168,,Perlis
97,,Thian Soon Keng,False,False,False,True,False,False,False,False,False,,,加埔路十四支天顺宫,"Batu 14, Jalan Kapar, 42200 Kapar, Klang, Selangor",,巴生,,,,,3.1329455,101.3760082,,Perlis
98,,Maoshan Fazo Temple,False,False,False,True,False,False,False,False,False,,,加埔路十支茅山法祖,"282, Batu 10, Jalan Keratapi Lama, 42200 Kapar, Selangor",,巴生,,,,,3.1413725,101.3571768,,Perlis
99,,Chung Tong Keng,False,False,False,True,False,False,False,False,False,,,加埔路一支川童宫,"Batu 1 1/4, Jalan Kapar, 41400 Klang, Selangor.",,巴生,,,,,3.0673779,101.4260961,,Perlis
100,,Kun Lun Than,False,False,False,True,False,False,False,False,False,,,崑崙坛,"95, Jalan Sungai Nibong 4, Rantau Panjang, 41200 Klang, Selangor.",,巴生,,,,,3.0653049,101.4141432,,Perlis
101,,Lean Teng Sze,False,False,False,True,False,False,False,False,False,,,莲亭寺,"75, Lintang Sungai Keramat 7E, Taman Klang Utama, 41150 Selangor.",,巴生,,,,,3.0876572,101.416495,,Perlis
102,,Liang Mu Kong,False,False,False,True,False,False,False,False,False,,,良木宫,"Jalan Selampit 21, Kawasan 3, Taman Klang Jaya, 41200 Klang, Selangor",,巴生,,,,,3.0075518,101.4446865,,Perlis
103,,Long He Kong,False,False,False,True,False,False,False,False,False,,,龙和宫,"52, Jalan Kelicap 41, Kawasan 17, Jalan Meru, 41050 Klang, Selangor.",,巴生,,,,,3.0611141,101.4551859,,Perlis
