庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（安邦）大圣堂,Ampang Thai Sin Thong,"2A, Jalan 16, Kampung Baru Ampang, 68000 Ampang, Selangor",,,7,,,,,,雪兰莪
（安邦）南天宫九皇爷,Ampang Nan Tian Gong Kau Ong Yah Temple,"Jalan Merdeka (Kampung Baru Ampang), 68000 Ampang, Selangor.",,,7,,,,,,雪兰莪
（八打灵）nalanda佛教会,Nalanda,,,,,,,1，2，10,,,雪兰莪
（八打灵）法缘圣寺,,,,,,,,1，2，10,,,雪兰莪
（八打灵）佛爺庙,,,,,,,,1，2，10,,,雪兰莪
（八打灵）福德正神,Fu De Zheng Shen,,,,1，2，10,,,,,,雪兰莪
（八打灵）观音佛母,,,,,,,,1，2，10,,,雪兰莪
（八打灵）观音庙,Kuan Yin Temple,,,,1，2，10,,,,,,雪兰莪
（八打灵）金佛精舍,,,,,,,,1，2，10,,,雪兰莪
（八打灵）金英庙,Kam Ying Temple,"31, Jalan SS 9A/15, Sungai Way, 47300 Petaling Jaya, Selangor",,,1，2，10,,,,,,雪兰莪
（八打灵）灵应殿九皇大帝,Leng Eng Tian,,,,1，2，7，10,,,,,,雪兰莪
（八打灵）盤古祖廟,Panku Ahkung Temple,,,,,,,1，2，10,,,雪兰莪
（八打灵）阮梁圣佛宫,Yuen Leong Sing Fatt Temple,"149, PJU 1/34, Kampung Cempaka, 47301 Petaling Jaya, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（八打灵）圣灵宫,Seng Leng Kong,,,,1，2，10,,,,,,雪兰莪
（八打灵）谭公廟,,,,,,,,1，2，10,,,雪兰莪
（八打灵）桃园圣宫,Tho Guan Sen Temple,"289, Jalan SS 9A/2, Sungai Way, 47300 Petaling Jaya, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（八打灵）天公亭,,,,,,,,1，2，10,,,雪兰莪
（八打灵）威灵宫,Wee Leng Keng,"MP 51， No. 97E, Kampung Matang Pagar, 47000 Sungai Buloh, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（八打灵）玄天上帝宫,Hean Tian Siong Teh Kiong,"S130, Kampung Cempaka, 47300 Petaling Jaya, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（八打靈縣）道济宫,Dao Ji Gong,,,,",1，2，10",,,,,,雪兰莪
（八打靈縣）斗母宫,Tow Boo Keong,"174, Jalan 17/47, Seksyen 17, 46400 Petaling Jaya, Selangor",,,1，2，7，10,,,,,,雪兰莪
（八打靈縣）法炬山法藏寺,,,,,,,,2，10,,,雪兰莪
（八打靈縣）凤仙寺,Feng Xian Si,,,,1，2，10,,,,,,雪兰莪
（八打靈縣）佛光文教中心,,,,,,,,1，2，10,,,雪兰莪
（八打靈縣）观音殿,Kuan Yin Tien,,,,",1，2，10",,,,,,雪兰莪
（八打靈縣）观音亭,,,,,,,,1，2，10,,,雪兰莪
（八打靈縣）华光庙,Hua Guang Temple,,,,",1，2，10",,,,,,雪兰莪
（八打靈縣）九天庭,,,,,,,,2，10,,,雪兰莪
（八打靈縣）开封府龙图宫,Leng Toh Temple,"3, Jalan 1/8, 46000 Petaling Jaya, Selangor",,,",1，2，7，10",,,,,,雪兰莪
（八打靈縣）蒲种英达花园拿督公庙,,,,,,,,2，10,,,雪兰莪
（八打靈縣）阮梁圣公佛,Petaling Jaya Yeong Leong Beow,"122, Jalan 17A/1, Seksyen 17, 46400 Petaling Jaya, Selangor",,,1，2，7，10,,,,,,雪兰莪
（八打靈縣）山云宫,Sun Hoon Keong,"47, Jalan 1/2, 46000 Petaling Jaya, Selangor",,,1，2，7，10,,,,,,雪兰莪
（八打靈縣）首邦再也佛教會,,,,,,,,1，2，10,,,雪兰莪
（八打靈縣）五雷仙师坛,Wu Lei Xian Shi Temple,"16, Jalan 1/6, 46000 Petaling Jaya, Selangor",,,",1，2，7，10",,,,,,雪兰莪
（八打靈縣）西圣庙,,,,,1，2，10,,,,,,雪兰莪
（八打靈縣）玉皇庙,Yu Huang Temple,"40, Jalan Railway 1/2, Seksyen 1, 46000 Petaling Jaya, Selangor",,,1，2，10,,,,,,雪兰莪
（巴生）白鹤仙法师公古庙,Pek Hoh Siang Huat Sze Kong,"122A, Bagan Teochew, Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）白虎宫,Bai Hu Gong,"Sungai Seberang, Pulau Ketam, Port Klang, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）班达马兰东南宫,Tong Lam Gong,"H 259, Jalan Bakar Arang, Pandamaran, Port Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰二区天和宫,Tian He Gong,"577, Jalan Lai, Pandamaran New Village, Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰观西宫,Kuan Seh Keong,"146, Jalan Chan Ah Chu, Pandamaran, Pelabuhan Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰后尾芭清林寺,Qing Lin Si,"Jalan Banting, Pandamaran, 42000 Pelabuhan Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）班达马兰梨山圣母宫,Lai Suan Siah Boh Temple,"565, Jalan Dengkil, Kampung Baru, Pandamaran, Pelabuhan Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰灵宝宫,Ling Bao Gong,"11652, Jalan Banting, Pandamaran, 42000 Pelabuhan Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）班达马兰善童坛,Sin Thong Tuah,"33, Lorong Mesra 1 off Jalan Kim Chuan, Kawasan 5, Taman Chi Liung Pandamaran, Pelabuhan Klang, Selangor. ",,,1，2，10,,,,,,雪兰莪
（巴生）班达马兰万津路妈祖庙,Mah Chor Temple,"Jalan Banting, Tokong Cina, Kunci Air, Pandamaran, 42000 Pelabuhan Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰咸水芭宝圣宫,Poh Seng Keng,"41, Jalan Bukit Arang, Pandamaran, Port Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰咸水芭莲安宫,Lian Ann Kong,"Leboh Raja Lumu, Kawasan 12, 42000 Port Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）班达马兰一区关顺宫,Guan Shun Gong,"Lot 8452, Jalan Sekinchan, 42000 Pelabuhan Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）班达马兰一区尾张公坛,Tiew Kong Tuah,"TBG1010, Jalan Papan, Pandamaran, 42000 Pelabuhan Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰玉皇庙,Giok Hong Temple,"11652, Jalan Pendamar, Kampung Baru, Pandamaran, 42000 Pelabuhan Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）班达马兰再也二路尾关庆宫,Kwan Kheng Keng,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",,,1，2，7，10,,,,,,雪兰莪
（巴生）船头拿督公新宫,,"Jalan Harper, Klang, Selangor.",,,1，2，10,11,,,,,雪兰莪
（巴生）慈竹庙,,,,,1，2，10,11,,,,,雪兰莪
（巴生）达摩祖师庙,,"Jalan Tok Muda, Pulau Ketam, Selangor",,,,,,2，10,,,雪兰莪
（巴生）福德祠,,,,,1，2，10,,,,,,雪兰莪
（巴生）福进宫,Hock Chin Kong,"5310, Jalan Kopi, Pandamaran, 42000 Port Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）福龙宫,Hock Leng Keng,"Rumah Berhala Hock Leng Keng, Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）港口班达马兰师公坛,,"201, Lorong Polis, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,,2，10,,,,,,雪兰莪
（巴生）关庆宫,,"Jalan Sijangkang, Pandamaran Jaya, Port Klang, Selangor.",,,,11,,,,,雪兰莪
（巴生）观福宫,,,,,2，10,1，11,,,,,雪兰莪
（巴生）观合宫,,"Kawasan 12, 42000 Port Klang, Selangor",,,2，10,1，11,,,,,雪兰莪
（巴生）观灵宫,,"NO.11652, Jln Banting Pandamaran, Kawasan 12, 42000 Klang, Selangor",,,2，10,1，11,,,,,雪兰莪
（巴生）观南宫,Guan Nan Gong,"H316, Jalan Batu Arang, Pandamaran, 42000 Pelabuhan Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）观天宫,Kuan Tien Keng,"Jalan Kemanis, Kawasan Tiga, Pandamaran N/V, 42000 Port Klang, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（巴生）广福宫,,"Jln Banting Pandamaran, Port Klang, Selangor",,,2，10,1，11,,,,,雪兰莪
（巴生）吉胆岛海上拿督公,,,,,,,,1，2，10,,,雪兰莪
（巴生）济仙洞关帝宫,Chee Sian Tong,"731, Jalan Timur, Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）旌阳宫,,,,,,,,1，2，10,,,雪兰莪
（巴生）莲花清人寺,Buddha Lotus,"1488, Jalan Mesra, Pandamaran, 42000 Port Klang, Selangor",,,1，2，7，10,11,,,,,雪兰莪
（巴生）联福庙、联福宫,Lian Fu Miao,"Jalan Banting Pandamaran, 42000 Port Klang, Selangor",,,1，2，7，10,,,,,,雪兰莪
（巴生）拿督公庙,,,,,,11,,1，2，10,,,雪兰莪
（巴生）拿督娘娘宫,Dato Neo-Neo Temple,"390, Sungai Dalam, Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）南海观音亭,Nan Hai Guan Yin Ting,"Bagan Teochew, Pulau Ketam, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（巴生）南天宫,Nan Thian Keng,"C/O 661, Jalan Tokong, Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）菩提林、普提林,,,,,1，2，10,11,,,,,雪兰莪
（巴生）顺天宫,,,,,1，2，10,11,,,,,雪兰莪
（巴生）泗灵宫,See Leng Keng,"317, Lorong Amarasegara, Pandamaran, 42000 Pelabuhan Klang, Selangor",,,1，2，10,11,,,,,雪兰莪
（巴生）孙福宫,Sam Tai Chu Temple ,"Jalan Cengal, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,,1，2，10,11,,,,,雪兰莪
（巴生）太上老君仙法师公古庙,Xian Fa Shi Gong,"290, Sungai Seberang, Pulau Ketam, 42940 Port Klang, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）天宝宫,,,,,1，2，10,11,,,,,雪兰莪
（巴生）天恩道堂（真空教）,,"51A, Jalan Raya Timur, Kawasan 1, 41000 Klang, Selangor",,,1，2，10,11,,,,,雪兰莪
（巴生）天法宫,,,,,1，2，10,11,,,,,雪兰莪
（巴生）天后庙,,,,,1，2，10,,,,,,雪兰莪
（巴生）靔宝宫,,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",,,2，7，10,1,,,,,雪兰莪
（巴生）靔寿宫,Thian Siew Keng,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）万寿宫,,,,,1，2，10,11,,,,,雪兰莪
（巴生）五条港拿督公,,,,,,,,1，2，10,,,雪兰莪
（巴生）五条港三魂公,,,,,,,,1，2，10,,,雪兰莪
（巴生）协天宫,Hiap Tian Kiong,"Lot H811A, Pulau Ketam, Port Klang, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）阴应宫,Yin Ying Kong,"Lot H-150, Sungai Dalam, Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生）源順興綾厝,,,,,,,,1，2，10,,,雪兰莪
（巴生）昭应祠,Chow Eng Chee,"Jalan Bagan Hailam, Kawasan Perindustrian Selat Klang Utara, 42000 Pelabuhan Klang, Selangor",,,,,,1，2，10,,,雪兰莪
（巴生）昭应庙天后宫,Chiau Eng Bio Thiam Houh Kong,"29K, Main Street, 42940 Pulau Ketam, Selangor.",,,1，2，10,,,,,,雪兰莪
（巴生县）吧生莲花清人寺佛祖慈善院,Klang Buddha Lotus Ci Shan Yuan,"91, Lot No. 7884, Jalan Kemanis, Pandamaran, 42000 Port Klang, Selangor",,,7,,,,,,雪兰莪
（巴生县）保安庙,,,,,,11,,,,,雪兰莪
（巴生县）法灵宫,,"No.17, Jalan Aur Kawasan 4, Taman Aur, 42000 Port Klang",,,,11,,,,,雪兰莪
（巴生县）法门寺,,"22, Jalan Jasmin 3, Bandar Botanik, 41200 Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）福成宫,,"Pelabuhan Selatan, 42000 Port Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）福德正神宫,,"Jalan Sungai Putus, Kampung Batu Belah, 41050 Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）福龙坛,,,,,,11,,,,,雪兰莪
（巴生县）福全堂,,,,,,11,,,,,雪兰莪
（巴生县）观宝宫,,"1903，jalan young , Pandamaran,42000 pelabuhan klang 42000 Port Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）观世庙,,"Jalan Young, Kampung Sijangkang, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）观水宫,,,,,,11,,,,,雪兰莪
（巴生县）合莲坛,,"Car Park space under High Pressure Cable, Taman Eng Ann, 41050 Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）和顺宫,,,,,,11,,,,,雪兰莪
（巴生县）吉胆过港区協天宫,Pulau Ketam Hiap Tian Kiong,"Lot H811A, Pulau Ketam, 42940 Port Klang, Selangor.",,,7,,,,,,雪兰莪
（巴生县）济青堂,,,,,,11,,,,,雪兰莪
（巴生县）金兰堂,,,,,,11,,,,,雪兰莪
（巴生县）金玉坛,,,,,,11,,,,,雪兰莪
（巴生县）景云宫,,,,,,11,,,,,雪兰莪
（巴生县）雷关宫,,,,,,11,,,,,雪兰莪
（巴生县）雷天宫,,,,,,11,,,,,雪兰莪
（巴生县）莲花宫,,"26, Jalan Bendahara 38, Taman Sri Indah, 41200 Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）莲忠宫,,"No. 28, Jalan Bungor, Kawasan 13, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）龙安庙,,,,,,11,,,,,雪兰莪
（巴生县）龙云宫,,,,,,11,,,,,雪兰莪
（巴生县）拿督庙,,,,,,11,,,,,雪兰莪
（巴生县）南发坛,,,,,,11,,,,,雪兰莪
（巴生县）南天门孫福宮,,"Jalan Cengal, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）普光兰若,,"20, Lorong Kulur, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）普佗寺,,,,,,11,,,,,雪兰莪
（巴生县）齐天间,,,,,,11,,,,,雪兰莪
（巴生县）五粒窑,,,,,,11,,,,,雪兰莪
（巴生县）三和宫,,,,,,11,,,,,雪兰莪
（巴生县）三山宫,,,,,,11,,,,,雪兰莪
（巴生县）三忠王宫,,,,,,11,,,,,雪兰莪
（巴生县）善宝宫,,,,,,11,,,,,雪兰莪
（巴生县）善才坛,,,,,,11,,,,,雪兰莪
（巴生县）圣母宫,,,,,,11,,,,,雪兰莪
（巴生县）师公坛,,"201, Lorong Polis, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）太子殿,,,,,,11,,,,,雪兰莪
（巴生县）天赐宫,,"Jl. Hort, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）靝宝宫/莲花靝宝宫,,,,,,11,,,,,雪兰莪
（巴生县）靝寿宫,,"Jalan Sijangkang, Pandamaran Jaya, Port Klang, Selangor.",,,,11,,,,,雪兰莪
（巴生县）张发坛,,,,,,11,,,,,雪兰莪
（巴生县）珠兴祠,Persatuan Pengurusan Tokong Dewa Choo Hin Sze Pelabuhan Klang Selangor,"21, Jalan Melaka, Kawasan 13, 42000 Pelabuhan Klang, Selangor",,,,11,,,,,雪兰莪
（巴生县）紫云福德祠,Sze Hoon Hock Teck Qi,"TBG 961, Jalan Emas 41000 Klang, Selangor, Malaysia",,,,11,,,,,雪兰莪
（巴生縣）八宝宫,Put Poh King,"39, Jalan Jelutong KU8, Pekan Meru Satu, Klang, Selangor.",,,2，10,,,,,,雪兰莪
（巴生縣）巴生港口清凉亭,Qin Liang Temple,"Kampung Kastam, 42000 Port Klang, Selangor",8，9,,7,11,,,,,雪兰莪
（巴生縣）巴生港口天福宫,Tian Hock Kung,"Lot 3115 & 3116, Jalan Siakap, Jln Tepi Sungai, Taman Teluk Pulai, 41100 Klang, Selangor",8，9,,2，7，10,,,,,,雪兰莪
（巴生縣）巴生港口天缘道堂（真空教）,Tiam Yam Toh Teng,"No.24,Jalan Cox, Di-Jalan Solok Baru, 41400 Klang, Selangor Darul Ehsan.",,,1，2，10,11,,,,,雪兰莪
（巴生縣）巴生加埔路二支協天宫,Klang Siah Tian Kong,"Lot 208, B-13, Batu Belah, 41050 Klang, Selangor.",,,7,,,,,,雪兰莪
（巴生縣）巴生加埔路九支天灵宫,Klang Tian Leng Gong,"Lot 344, Jalan Kapar, Batu 9 1/4, Kampung Perepat, 42200 Kapar, Selangor.",,,7,,,,,,雪兰莪
（巴生縣）巴生加埔十一支兴化府,Klang Heng Hua Foo,"N0 32, Lorong Kiyai Sujak 20D, Taman Sri Wangi, 42200 Kapar, Selangor.",,,7,,,,,,雪兰莪
（巴生縣）巴生峇都勿拉南阳宫,Nan Yoong Keong Klang,"15, Lot 219, Kampung Batu Belah, 41050 Klang, Selangor.",,,7,,,,,,雪兰莪
（巴生縣）白音宫,Bai Yin Gong,"35, Lorong Batu Nilam 6D, Bandar Bukit Tinggi, 42100 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）北辰宫,Bei Chen Gong,,,,2，10,,,,,,雪兰莪
（巴生縣）船头哪督,Chuan Tou Dato,"Jalan Harper, 41400 Klang, Selangor",,,2，10,,,,,,雪兰莪
（巴生縣）大德壇,,,,,7,11,,2，10,,,雪兰莪
（巴生縣）二支南山洞威灵宫,Nan Shan Dong Wei Ling Gong,"37, Lorong Mersing, Jalan Kapar, 41400 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）凤山寺,Hong Sun Si,"Lot 35544, Lorong Sentosa 3, Taman Chi Liung, Pandamaran, 42000 Pelabuhan Klang, Selangor",9,,7，2，10,,,,,,雪兰莪
（巴生縣）佛喃码万灵宫、万灵宫,Wan Ling Keng,"Lot 295 Jalan Kem, 42000 Pelabuhan Klang, Selangor",,,2，7，10,11,,,,,雪兰莪
（巴生縣）福德坛,Fu De Tan,"Lot 11094, Batu 3 1/2, (Kedai 3) Kampung Jawa, 41000 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）福天宫,Hock Tian Keng,,,,2，10,,,,,,雪兰莪
（巴生縣）甘榜爪哇九天庭,Kiew Tian Teng,,,,2，10,,,,,,雪兰莪
（巴生縣）甘榜爪哇云峰坛,Yun Feng Tan,,,,2，10,,,,,,雪兰莪
（巴生縣）高阳苑中南庙,Zhong Nan Miao,"7, Lorong Dato Yusof Shahbudin 45A, Taman Mewah Jaya, 41200 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）汉寿亭侯关帝庙,Hon Sao Teng Hau Guan Di Temple,"21, Jalan 41, Kawasan 17, Off Jalan Meru, 41050 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）河边路北極玄武殿,Bei Ji Xuan Wu Dian,,,,2，10,,,,,,雪兰莪
（巴生縣）河边路石山哪督爷公,Shi Shan Dato Temple,"32A, Lintang Sungai 4 Off Jalan Tepi Sungai, 41100 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）河边路靔灵宫,Tian Leng Keng,"54A, Lorong Sungai 10 off Tepi Sungai, 41100 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）河边路同心宫,Tong Xin Keng,"54A, Lorong Sungai 10 off Tepi Sungai, 41100 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）河天宫,Hoh Thian Kiong,"Lot 3281, Batu 5 1/2, Jalan Kapar, 42100 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）横路茅山宫,Mau San Gong,,,,2，10,,,,,,雪兰莪
（巴生縣）加埔路八支聚宝堂,Chi Poh Tong,"262, Batu 8, Jalan Keratapi Lama, 42200 Kapar, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）加埔路二支半大伯公坛,Da Bo Gong Tang,"14, Jalan Labis 105, Kawasan 19, Off Jalan Kapar, Batu 2 1/2, 41400 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）加埔路二支凤山寺,Feng Shan Si,,,,2，10,,,,,,雪兰莪
（巴生縣）加埔路六哩张福宫,Klang Tew Hock Kiong,,,,2，10,,,,,,雪兰莪
（巴生縣）加埔路十二支三福宫,Sam Hock Temple,"60, Batu 12, Jalan Kapar, 42200 Kapar, Selangor.",,,2，7，10,,,,,,雪兰莪
（巴生縣）加埔路十四支天顺宫,Thian Soon Keng,"Batu 14, Jalan Kapar, 42200 Kapar, Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）加埔路十支茅山法祖,Maoshan Fazo Temple,"282, Batu 10, Jalan Keratapi Lama, 42200 Kapar, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）加埔路一支川童宫,Chung Tong Keng,"Batu 1 1/4, Jalan Kapar, 41400 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）戩帅宫,Chin Swee Keng,,,,2，10,,,,,,雪兰莪
（巴生縣）进天宫,Jin Tian Gong,,,,2，10,,,,,,雪兰莪
（巴生縣）九支天灵宫,Tian Leng Gong,,,,2，10,,,,,,雪兰莪
（巴生縣）崑崙坛,Kun Lun Than,"95, Jalan Sungai Nibong 4, Rantau Panjang, 41200 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）莲亭寺,Lean Teng Sze,"75, Lintang Sungai Keramat 7E, Taman Klang Utama, 41150 Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）良木宫,Liang Mu Kong,"Jalan Selampit 21, Kawasan 3, Taman Klang Jaya, 41200 Klang, Selangor",,,7，2，10,,,,,,雪兰莪
（巴生縣）龙和宫,Long He Kong,"52, Jalan Kelicap 41, Kawasan 17, Jalan Meru, 41050 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）龙礼寺,Long Lye Sye,"Jalan Batu Tiga, Kawasan 15, 41300 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）马基督哪卓公,Makitoh Temple,"Jalan Harper, 41400 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）木吒宫李府二太子,Li Fu Erh Tau Tze,"12, Lintang Muda, Off Jalan Meru, 41050 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）南山宫,Lam Suah Keng,"Lot 27, Jalan 57, Off Jalan Bukit Kerayong, Pandamaran, 42000 Port Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）南阳宫,Nan Yoong Keong,,,,2，10,,,,,,雪兰莪
（巴生縣）七星佛光真君坛、七星佛光坛,Qi Xing Fo Guang Zhen Jun Tan,"91, Jalan Dato Dagang 10, Taman Sentosa, 42000 Klang, Selangor",,,2，7，10,11,,,,,雪兰莪
（巴生縣）七玉殿,Klang Qi Yu Dian,"4, Jalan Cox, 41300 Klang, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（巴生縣）齐天门,Che Tian Men,,,,2，10,,,,,,雪兰莪
（巴生縣）青龙宫,Ching Long Kong,,,,2，10,,,,,,雪兰莪
（巴生縣）青云洞,Ching Yun Tong,,,,2，10,,,,,,雪兰莪
（巴生縣）圣福宫,Sheng Hock Gong,,9,,7，2，10,,,,,,雪兰莪
（巴生縣）圣淘沙北主宫,Bei Chu Gong,"1, Jalan Yusof Shahbudin 7, Taman Sentosa, 41200 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）圣淘沙东岳坛,Dong Yue Than,"33, Lorongg 20A, Taman Sentosa, 41200 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）圣淘沙福德宫,Fu De Gong,"6, Lorong Dato Dagang 35C, Taman Sri Sentosa, 41200 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）圣淘沙美华花园寿龟庙,Sou Gui Miao Temple,"Jalan Bendahara 56 Taman Sejati 5, 41200 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）圣淘沙哪督宫,Na Tok Keng,"28, Lorong 20B, Taman Mujur Sentosa Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）圣淘沙石壶宫,Cheok Wu Kong,"Lot 10433, Taman Sentosa, 41200 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）圣淘沙石头宫,Chiok Tao Keng,"176，1st Floor, Jalan Yusof Shahbudin 1, Taman Sentosa, Klang 41200, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）十五支天后宫,Kapar Tian Hor Kong,"Jalan Bagan Sungai Janggut, 42200 Kapar, Selangor.",,,2，7，10,,,,,,雪兰莪
（巴生縣）十一支兴化府,Heng Hua Foo,,,,2，10,,,,,,雪兰莪
（巴生縣）双溪槟榔二支半马山灵宫,Ma San Ling Gong,"548, Lot 3101, Batu 2 1/2, Sungai Pinang, Jalan Kapar, 41400 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）太和宫,Thai Hoe Kheng,,,,2，10,,,,,,雪兰莪
（巴生縣）太明宫,Tai Ming Gong,"Jalan Harper, 41400 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）天圣宫,Klang Tian Shen Keng,"118, Jalan Tempinis, Off Jalan Meru, 41050 Klang, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（巴生縣）天云宫,Tian Hoon Kong,"48, Jalan Kelicap 41, Off Jalan Meru 41050 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）五条路观音亭,Kwan Imm Temple,"30, Jalan Raya Barat, 41000 Klang, Selangor.",8，9,,7，2，10,,,,,,雪兰莪
（巴生縣）五条路开封府,Kai Hong Hoo,"32, Jalan Raya Barat, 41100 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）伍德宫,Klang Ngoh Teck Keong,"20-A, Jalan Bukit Kuda, Bukit Kuda, 41300 Klang, Selangor.",,,2，7，10,11,,,,,雪兰莪
（巴生縣）协天宫,Siah Tian Kong,,,,2，10,,,,,,雪兰莪
（巴生縣）许大宫,Khor Tat Kong,"3, Jalan Cox, 41300 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）沿海宫,Yan Hai Gong,"Jalan Batu Tiga, Kawasan 15, 41300 Klang, Selangor",,,2，7，10,,,,,,雪兰莪
（巴生縣）椰脚联合庙,Lian He Temple,"Lot 385, Jalan Nanas, Kawasan 18, 41400 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）椰脚紫云亭,Chee Hong Teng,"24 Jalan Tapah, Jalan Goh Hock Huat, 41400 Klang, Selangor.",,,7，2，10,,,,,,雪兰莪
（巴生縣）永安园电線路顺福宫,Klang Soon Hock Kong,,,,2，10,,,,,,雪兰莪
