庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（瓜拉冷岳縣）天宝宫,Thean Poh Keong,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）天后宫,,,,,,,,2,,,雪兰莪
（瓜拉冷岳縣）天令坛,Tian Lin Tan,,,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）天圣坛,Tian Sheng Tan,,,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）五雷仙法師公古廟,,,,,,,,2,,,雪兰莪
（瓜拉冷岳縣）五雷仙法師公古廟（天雷亭）,,,,,,,,2,,,雪兰莪
（瓜拉冷岳縣）新邦干宗福禄洞宫,Fu Lu Dong Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）新邦毛立碧云宫,Bi Yun Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）新港顺天宫,Sun Tian Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）雪兰莪丹绒士拔石云宫,Tanjung Sepat Shi Yun Gong,"165-A, Tanjung Sepat, 42800 Kuala Langat, Selangor",,,7,,,2,,,雪兰莪
（瓜拉冷岳縣）玉封忠义宫,Choong Yee Temple,"292, Lorong 6, 42800 Tanjung Sepat, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）岳福寿宫,Hock Siew Temple,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）忠义宫,Zhong Yi Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉雪兰莪）Then Lam Keong Temple Ulu Yam Bharu,,,,,,,,2,,,雪兰莪
（瓜拉雪兰莪）八仙古庙,,,,,,,,1，2,,,雪兰莪
（瓜拉雪兰莪）巴眼巴西众位仙法师公庙,,,,,,,,2,,,雪兰莪
（瓜拉雪兰莪）凤山寺,Feng San Si,,8，9,,7，2，10,,,2,,,雪兰莪
（瓜拉雪兰莪）峇东新村众位仙法师公古庙,,,,,,,,2,,,雪兰莪
（瓜拉雪兰莪）明德佛堂,,,,,,,,1，2,,,雪兰莪
（瓜拉雪兰莪）拿督公庙,,,,,,,,1，2,10,,雪兰莪
（瓜拉雪兰莪）南天宫,,,,,,,,1，2,,,雪兰莪
