Name,Notes,Address,State,UID
金刚寺,,"No. 2, Jalan Temenggong 9, Taman Ungku Tun Aminah, 81300 Skudai",Johor,A206
 仙靈廟,,Jementah ,Johor,A207
皇后花园法主公宫,,"Jalan Bentara 9, Taman Ungku Tun Aminah, 81300 Skudai, Johor",Johor,A208
慈濟,,"3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A209
武天宫 Wu Tian Gong,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A210
 圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor.",Johor,A211
士古来玉旨敕封三教中佛殿,,"29, Jalan Impian Emas 22, Taman Impian Emas, 81300 Skudai, Johor",Johor,A212
金刚寺,此庙有 20 多年历史,"No. 2, Jalan Temenggong 9, Taman Ungku Tun Aminah, 81300 Skudai,",Johor,A213
西陽伯公宮,有百多年歷史," Lorong B-8, Pekan Nenas, Johor ",Johor,A214
吳爺宮,1953 建立， 有 67年的歷史 ,"Lorong B-5, Pekan Nenas, Johor. ",Johor,A215
聖德廟,,"510, Lorong C-5, Taman Sri Kiambang 81500 pekan Nenas , Johor ",Johor,A216
而南伯公廟,70年歷史,"458- 463, Lorong C-2, Taman Seri, Damanasara , 81500 Pekan Nenas",Johor,A217
中國佈道會北干那那聖道堂,,"Lorong B-2, Pekan Nenas , 81500 Pekan Nenas ",Johor,A218
修本堂 ulu Choh ,," 81500 Pekan Nenas, Johor ",Johor,A219
忠義堂 ,,"Pekan Nenas , 81500 Pekan Nenas, Johor",Johor,A220
慈庵廟大伯公,," Jalan Tanjung Kupang, Ulu Choh, 81500 Pekan Nenas, Johor",Johor,A221
保聖宮,,"Jalan Ulu Choh, Kampung Ulu Choh, 81500 , Pekan Nenas, Johor ",Johor,A222
光明寺 ,,"80-78, Jalan Kobis , Kampung Ulu Choh, 81500, Pekan Nenas, Johor ",Johor,A223
大善寺 （ 店屋庙） ,,"15, Jalan SS 1/1, Taman Sri Saujana 2, 81900 Kota Tinggi, Johor",Johor,A224
Thekchen Choling Kota Tinggi大乘禅寺哥打丁宜禅修中心 ,,Lot 691 kampung Tai Hong,Johor,A225
天聖宮 – kota tinggi ,,kampung Tai Hong,Johor,A226
哥打丁宜善導精舍 ,,"35, Jalan Melati 1, Taman Melati Putih, 81900 Kota Tinggi, Johor",Johor,A227
哥打丁宜龍望關帝廟,,"Jalan Melati 1, Taman Melati Putih, 81900 Kota Tinggi, Johor",Johor,A228
Fattus 金山谷法渡寺 ,,"Taman Kota Merdesa, 81900 Kota Tinggi, Johor",Johor,A229
萬法堂 Kampung Tembioh,,,Johor,A230
聖旺宮黃大仙Kampung Tembioh ,,,Johor,A231
天鳳廟 / 哪吒蓮花三太子,,"  27, Jalan Kampung Tembioh, Kampung Tembioh, 81900 Kota Tinggi, ",Johor,A232
明山宮 / 觀音 / 關公,," Kampung Tembioh,",Johor,A233
哥打丁宜德教会紫登阁 ,,"No.1, Jalan Abdulah, Pekan Kota Tinggi, 81900 Kota Tinggi, Johor",Johor,A234
潮州八邑會館,,,Johor,A235
峝主庙 • 侯王爷 ,,"Teluk Sengat, 81900 Ayer Tawar, Johor",Johor,A236
南亚港龙潭古庙 ,,"Teluk Sengat, 81900 Ayer Tawar, Johor",Johor,A237
东勇庙 ,,"Jalan Senangin, 81900 Tanjung Sedeli, Johor ",Johor,A238
三寶壇 San Bao Temple ,,"San Bao Temple, Lor 1, kampong Jalan Seesun, 86300 Renggam, Johor",Johor,A239
令金天後宮 ,,,Johor,A240
令金大伯公,,,Johor,A241
梨山老母廟 Li Shan Lao Mu Temple ,上乩的女士感應很多仙佛降臨她的家,,Johor,A242
,,"4, Lor 2, Rengam, 86300 Renggam, Johor",Johor,A243
令金睡佛寺 （ 住家）,,"Jln 10, Rengam, 86300 Renggam, Johor ",Johor,A244
令金新村老觀音廟 ,,"2, Jalan 5, Rengam, 86300 Renggam, Johor ",Johor,A245
新邦令金濟公壇 ,,"42 jalan pineapple, 86200 Simpang Renggam, Johor ",Johor,A246
新邦令金德教會紫濡閣  ,,"Taman Suria, 86200 Simpang Renggam, Johor ",Johor,A247
新邦令金陸洲园靈顯廟, 陸州黃梨園 6500英畝,,Johor,A248
雲龍宮 ,,"Jalan Bakawali, Kampung Simpang Renggam, 86200 Simpang Renggam, Johor ",Johor,A249
天福寺 ,,"   Simpang Renggam, 86200 Simpang Renggam, Johor ",Johor,A250
慈善堂 ,,"Simpang Renggam, 86200 Simpang Renggam, Johor ",Johor,A251
SJK(C) Machap,小學旁邊有一間廟（ 拜石頭 ） ,"Kampung Machap, 86200 Simpang Renggam, Johor ",Johor,A252
嗎什濟寶堂  ,,"Lot 6506, Jln Bunga Raya, Taman sri Machap86200 Simpang Renggam, Johor ",Johor,A253
九天玄女廟,,,Johor,A254
崑崙洞法主公  ,,"Jln Besar, 86200 Simpang Renggam, Johor ",Johor,A255
